Power (kW),Lf (m),Zone,Flux (kW/m²),D_API_Standard (m),D_Caetano (m),D_DeRis (m)
50.0,0.95,Red zone,12.5,0.11,0.38,0.23
50.0,0.95,Orange zone,9.5,0.13,0.43,0.26
50.0,0.95,Yellow zone,5.0,0.18,0.60,0.36
50.0,0.95,Green zone,4.0,0.20,0.67,0.41
50.0,0.95,Blue zone,1.6,0.32,1.06,0.64
191.2,1.56,Red zone,12.5,0.39,0.49,0.45
191.2,1.56,Orange zone,9.5,0.44,0.56,0.52
191.2,1.56,Yellow zone,5.0,0.61,0.78,0.71
191.2,1.56,Green zone,4.0,0.68,0.87,0.80
191.2,1.56,Blue zone,1.6,1.08,1.37,1.26
731.2,2.57,Red zone,12.5,1.03,0.68,0.88
731.2,2.57,Orange zone,9.5,1.18,0.78,1.01
731.2,2.57,Yellow zone,5.0,1.63,1.07,1.39
731.2,2.57,Green zone,4.0,1.82,1.20,1.56
731.2,2.57,Blue zone,1.6,2.88,1.89,2.46
2796.3,4.24,Red zone,12.5,2.09,0.99,1.72
2796.3,4.24,Orange zone,9.5,2.40,1.13,1.98
2796.3,4.24,Yellow zone,5.0,3.30,1.56,2.72
2796.3,4.24,Green zone,4.0,3.69,1.74,3.04
2796.3,4.24,Blue zone,1.6,5.84,2.76,4.81
10000.0,6.82,Red zone,12.5,3.95,1.46,3.26
10000.0,6.82,Orange zone,9.5,4.53,1.68,3.74
10000.0,6.82,Yellow zone,5.0,6.24,2.31,5.15
10000.0,6.82,Green zone,4.0,6.98,2.59,5.76
10000.0,6.82,Blue zone,1.6,11.04,4.09,9.10
